"Gender";"Year";"Age";"Country";"imputed_flag";"mx";"logmx"
"Female";1953;71;"CHE";"FALSE";0.036466;-3.31137495936512
"Female";1953;72;"CHE";"FALSE";0.04636;-3.07131826051059
"Female";1953;73;"CHE";"FALSE";0.052321;-2.950357458866
"Female";1953;74;"CHE";"FALSE";0.056048;-2.88154681252701
"Female";1953;75;"CHE";"FALSE";0.066475;-2.71092934185305
"Female";1953;76;"CHE";"FALSE";0.068873;-2.6754910500432
"Female";1953;77;"CHE";"FALSE";0.086043;-2.45290810768698
"Female";1953;78;"CHE";"FALSE";0.089688;-2.41141829813084
"Female";1953;79;"CHE";"FALSE";0.104376;-2.25975551501869
"Female";1953;80;"CHE";"FALSE";0.120018;-2.12011354744897
"Female";1953;81;"CHE";"FALSE";0.115911;-2.15493262373538
"Female";1953;82;"CHE";"FALSE";0.144544;-1.93417131950994
"Female";1953;83;"CHE";"FALSE";0.145212;-1.92956053537822
"Female";1953;84;"CHE";"FALSE";0.156426;-1.85517222427812
"Female";1953;85;"CHE";"FALSE";0.197308;-1.62298931938583
"Female";1953;86;"CHE";"FALSE";0.192806;-1.64607077695797
"Female";1953;87;"CHE";"FALSE";0.23443;-1.45059824312071
"Female";1953;88;"CHE";"FALSE";0.239749;-1.42816273623876
"Female";1953;89;"CHE";"FALSE";0.266373;-1.32285769680365
"Female";1953;90;"CHE";"FALSE";0.28922;-1.24056763479549
"Female";1953;91;"CHE";"FALSE";0.264382;-1.33036025199075
"Female";1953;92;"CHE";"FALSE";0.331108;-1.1053106728362
"Female";1953;93;"CHE";"FALSE";0.310275;-1.17029627796655
"Female";1953;94;"CHE";"FALSE";0.435897;-0.83034930207393
"Female";1953;95;"CHE";"FALSE";0.506494;-0.680242801365538
"Female";1953;96;"CHE";"FALSE";0.582524;-0.540384892674311
"Female";1953;97;"CHE";"FALSE";0.409938;-0.891749350230802
"Female";1953;98;"CHE";"FALSE";0.610169;-0.49401931100549
"Female";1953;99;"CHE";"FALSE";0.48;-0.7339691750802
"Female";1954;0;"CHE";"FALSE";0.024316;-3.71662070909566
"Female";1954;1;"CHE";"FALSE";0.002098;-6.16677076900803
"Female";1954;2;"CHE";"FALSE";0.001536;-6.47857364425666
"Female";1954;3;"CHE";"FALSE";0.000997;-6.91075978800244
"Female";1954;4;"CHE";"FALSE";0.000936;-6.97389508148668
