iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
373.0,0.4169020446686897,0.01,5,0.0,1.0,1.0,2,2,binary:logistic,hist,logloss
373.0,0.4169020446686897,0.01,5,0.0001,1.0,1.0,2,2,binary:logistic,hist,logloss
366.0,0.41692957023867167,0.01,5,0.0001,0.8,1.0,0,2,binary:logistic,hist,logloss
366.0,0.41692957023867167,0.01,5,0.0,0.8,1.0,0,2,binary:logistic,hist,logloss
362.0,0.4169458027811828,0.01,6,0.0,1.0,0.8,1,1,binary:logistic,hist,logloss
362.0,0.4169458027811828,0.01,6,0.0001,1.0,0.8,1,1,binary:logistic,hist,logloss
353.0,0.4169548746400128,0.01,6,0.0,0.8,0.8,1,1,binary:logistic,hist,logloss
353.0,0.4169548746400128,0.01,6,0.0001,0.8,0.8,1,1,binary:logistic,hist,logloss
366.0,0.4170375398669302,0.01,6,0.0,1.0,0.8,0,2,binary:logistic,hist,logloss
366.0,0.4170375398669302,0.01,6,0.0001,1.0,0.8,0,2,binary:logistic,hist,logloss
359.0,0.4170389036889105,0.01,5,0.0001,0.8,1.0,2,0,binary:logistic,hist,logloss
359.0,0.4170389036889105,0.01,5,0.0,0.8,1.0,2,0,binary:logistic,hist,logloss
324.0,0.41719619292230964,0.01,6,0.0001,0.8,0.8,0,1,binary:logistic,hist,logloss
324.0,0.41719619292230964,0.01,6,0.0,0.8,0.8,0,1,binary:logistic,hist,logloss
363.0,0.4172097603312853,0.01,5,0.0,1.0,1.0,1,2,binary:logistic,hist,logloss
363.0,0.4172097603312853,0.01,5,0.0001,1.0,1.0,1,2,binary:logistic,hist,logloss
313.0,0.4172130013085667,0.01,6,0.0001,0.8,0.8,1,0,binary:logistic,hist,logloss
313.0,0.4172130013085667,0.01,6,0.0,0.8,0.8,1,0,binary:logistic,hist,logloss
345.0,0.4173587395830934,0.01,6,0.0,1.0,0.8,2,0,binary:logistic,hist,logloss
345.0,0.4173587395830934,0.01,6,0.0001,1.0,0.8,2,0,binary:logistic,hist,logloss
342.0,0.4174210256939519,0.01,5,0.0001,1.0,1.0,2,1,binary:logistic,hist,logloss
342.0,0.4174210256939519,0.01,5,0.0,1.0,1.0,2,1,binary:logistic,hist,logloss
343.0,0.4174397686496043,0.01,5,0.0001,1.0,1.0,0,2,binary:logistic,hist,logloss
343.0,0.4174397686496043,0.01,5,0.0,1.0,1.0,0,2,binary:logistic,hist,logloss
352.0,0.41744654570671624,0.01,5,0.0,0.8,1.0,1,0,binary:logistic,hist,logloss
352.0,0.41744654570671624,0.01,5,0.0001,0.8,1.0,1,0,binary:logistic,hist,logloss
